Observation Time (UTC),Penetration (mV/m),Quiet (mV/m),Quiet plus Penetration (mV/m)
2017-08-06 00:00:00,undefined,-0.2809465298270407,undefined
2017-08-06 00:05:00,0.004168469831132859,-0.28110476541143303,-0.2769362955803002
2017-08-06 00:10:00,0.0032102542990508813,-0.2812175923423834,-0.27800733804333255
2017-08-06 00:15:00,0.00023801486759745993,-0.28132808728572667,-0.2810900724181292
2017-08-06 00:20:00,-0.005411572381700823,-0.28147133914513145,-0.28688291152683226
2017-08-06 00:25:00,-0.011404059876651532,-0.28165048577559854,-0.2930545456522501
2017-08-06 00:30:00,-0.016277860367391206,-0.281860677269962,-0.2981385376373532
2017-08-06 00:35:00,-0.019680332722197942,-0.2820970637210557,-0.30177739644325363
2017-08-06 00:40:00,-0.021230494734748907,-0.2823547952217138,-0.3035852899564627
2017-08-06 00:45:00,-0.022106462758364233,-0.28262902186477024,-0.3047354846231345
2017-08-06 00:50:00,-0.023080886116787165,-0.28291489374305906,-0.3059957798598462
2017-08-06 00:55:00,-0.022562364385308266,-0.2832075609494141,-0.3057699253347224
2017-08-06 01:00:00,-0.01832115423354808,-0.28350217357666974,-0.3018233278102178
2017-08-06 01:05:00,-0.01415904095076654,-0.2837938817176598,-0.2979529226684263
2017-08-06 01:10:00,-0.012053047709368873,-0.2840778354652179,-0.2961308831745868
2017-08-06 01:15:00,-0.011598132451671723,-0.2843491849121786,-0.2959473173638503
2017-08-06 01:20:00,-0.009505680279379624,-0.28460308015137575,-0.2941087604307554
2017-08-06 01:25:00,-0.0030912829447931984,-0.28483467127564316,-0.2879259542204364
2017-08-06 01:30:00,0.009042462196416395,-0.28503910837781504,-0.27599664618139863
2017-08-06 01:35:00,0.021855923267204393,-0.28521154155072537,-0.263355618283521
2017-08-06 01:40:00,0.02883143469378255,-0.28534712088720815,-0.2565156861934256
2017-08-06 01:45:00,0.03400938702820368,-0.28544099648009713,-0.25143160945189347
2017-08-06 01:50:00,0.04542698704608311,-0.28548831842222677,-0.24006133137614366
2017-08-06 01:55:00,0.05793943686965676,-0.28548423680643076,-0.227544799936774
2017-08-06 02:00:00,0.06381707510782075,-0.2854239017255432,-0.22160682661772246
2017-08-06 02:05:00,0.06233077691308361,-0.28530246327239817,-0.22297168635931455
2017-08-06 02:10:00,0.05826584525279261,-0.2851150715398296,-0.22684922628703702
2017-08-06 02:15:00,0.04824238092129457,-0.28485687662067133,-0.23661449569937676
2017-08-06 02:20:00,0.035573395339074304,-0.28452302860775763,-0.24894963326868333
2017-08-06 02:25:00,0.02312711033285309,-0.28410867759392255,-0.26098156726106947
2017-08-06 02:30:00,0.0034828527291344276,-0.28360897367199966,-0.28012612094286526
2017-08-06 02:35:00,-0.01726596774836339,-0.2830190669348235,-0.30028503468318685
2017-08-06 02:40:00,-0.03250187906345575,-0.2823341074752277,-0.31483598653868344
2017-08-06 02:45:00,-0.03864405300204398,-0.2815492453860465,-0.32019329838809046
2017-08-06 02:50:00,-0.04292877772289805,-0.28065963076011374,-0.3235884084830118
2017-08-06 02:55:00,-0.05419779422862879,-0.2796604136902635,-0.3338582079188923
2017-08-06 03:00:00,-0.07356387635812456,-0.2785467442693299,-0.35211062062745446
2017-08-06 03:05:00,undefined,-0.27731377259014656,undefined
2017-08-06 03:10:00,-0.1023815737669017,-0.27595664874554804,-0.37833822251244975
