Observation Time (UTC),Penetration (mV/m),Quiet (mV/m),Quiet plus Penetration (mV/m)
2017-08-11 00:00:00,0.001135124144769847,-0.2809465298270407,-0.27981140568227086
2017-08-11 00:05:00,0.0009934797828419475,-0.28110476541143303,-0.2801112856285911
2017-08-11 00:10:00,0.0006359783882654077,-0.2812175923423834,-0.280581613954118
2017-08-11 00:15:00,0.00023726994126005402,-0.28132808728572667,-0.2810908173444666
2017-08-11 00:20:00,-0.0001333587848050567,-0.28147133914513145,-0.28160469792993653
2017-08-11 00:25:00,-0.0005678687223782313,-0.28165048577559854,-0.2822183544979768
2017-08-11 00:30:00,-0.001411676400731861,-0.281860677269962,-0.28327235367069387
2017-08-11 00:35:00,-0.0013771570467101838,-0.2820970637210557,-0.2834742207677659
2017-08-11 00:40:00,-0.0006216554015568878,-0.2823547952217138,-0.2829764506232707
2017-08-11 00:45:00,0.0007538998005549286,-0.28262902186477024,-0.28187512206421533
2017-08-11 00:50:00,0.0019147152935220107,-0.28291489374305906,-0.28100017844953706
2017-08-11 00:55:00,0.0010648102710704617,-0.2832075609494141,-0.28214275067834366
2017-08-11 01:00:00,-0.002145890374886439,-0.28350217357666974,-0.2856480639515562
2017-08-11 01:05:00,-0.004278878338024442,-0.2837938817176598,-0.2880727600556842
2017-08-11 01:10:00,-0.005101792739366084,-0.2840778354652179,-0.289179628204584
2017-08-11 01:15:00,-0.00254223598274333,-0.2843491849121786,-0.2868914208949219
2017-08-11 01:20:00,0.002723519735695741,-0.28460308015137575,-0.28187956041568
2017-08-11 01:25:00,0.008729622329683225,-0.28483467127564316,-0.27610504894595994
2017-08-11 01:30:00,0.01319468169061988,-0.28503910837781504,-0.27184442668719516
2017-08-11 01:35:00,0.0034037096236018516,-0.28521154155072537,-0.2818078319271235
2017-08-11 01:40:00,-0.02229865903972969,-0.28534712088720815,-0.30764577992693787
2017-08-11 01:45:00,-0.04301908506311132,-0.28544099648009713,-0.32846008154320844
2017-08-11 01:50:00,-0.04885974343558574,-0.28548831842222677,-0.3343480618578125
2017-08-11 01:55:00,-0.04769603919524069,-0.28548423680643076,-0.33318027600167144
2017-08-11 02:00:00,-0.04427711691982167,-0.2854239017255432,-0.3297010186453649
2017-08-11 02:05:00,-0.03872638753181309,-0.28530246327239817,-0.32402885080421123
2017-08-11 02:10:00,-0.02804914109808899,-0.2851150715398296,-0.3131642126379186
2017-08-11 02:15:00,-0.023567518265250602,-0.28485687662067133,-0.30842439488592194
2017-08-11 02:20:00,-0.02256037435753421,-0.28452302860775763,-0.30708340296529185
2017-08-11 02:25:00,-0.01102767274960869,-0.28410867759392255,-0.29513635034353125
2017-08-11 02:30:00,0.008579524578083194,-0.28360897367199966,-0.27502944909391647
2017-08-11 02:35:00,0.02881297941380924,-0.2830190669348235,-0.25420608752101426
2017-08-11 02:40:00,0.039312302094491186,-0.2823341074752277,-0.2430218053807365
2017-08-11 02:45:00,0.02731836705353311,-0.2815492453860465,-0.25423087833251334
2017-08-11 02:50:00,0.00195754772125874,-0.28065963076011374,-0.278702083038855
2017-08-11 02:55:00,-0.021518697846905754,-0.2796604136902635,-0.30117911153716925
2017-08-11 03:00:00,-0.03305787414450937,-0.2785467442693299,-0.3116046184138393
2017-08-11 03:05:00,-0.03272491157136128,-0.27731377259014656,-0.3100386841615078
2017-08-11 03:10:00,-0.034035852000135876,-0.27595664874554804,-0.3099925007456839
2017-08-11 03:15:00,-0.034501692708786544,-0.2744705228283679,-0.3089722155371545
2017-08-11 03:20:00,-0.03165982147992289,-0.27285288300484883,-0.30451270448477175
2017-08-11 03:25:00,-0.03194892824490302,-0.2711105697348671,-0.3030594979797701
2017-08-11 03:30:00,-0.027593601364393542,-0.26925276155170746,-0.296846362916101
2017-08-11 03:35:00,-0.021661286069916404,-0.26728863698865485,-0.28894992305857126
2017-08-11 03:40:00,-0.021408512220752733,-0.2652273745789939,-0.28663588679974666
2017-08-11 03:45:00,-0.026789450568182653,-0.2630781528560095,-0.28986760342419216
2017-08-11 03:50:00,-0.035558872336945296,-0.26085015035298653,-0.29640902268993186
2017-08-11 03:55:00,-0.04309108860736505,-0.25855254560320967,-0.3016436342105747
2017-08-11 04:00:00,-0.04768968842320582,-0.2561945171399638,-0.3038842055631696
2017-08-11 04:05:00,-0.04695319419333452,-0.25378524349653386,-0.3007384376898684
2017-08-11 04:10:00,-0.041833550551509294,-0.2513339032062044,-0.2931674537577137
2017-08-11 04:15:00,-0.03420565634464235,-0.24884967480226025,-0.2830553311469026
2017-08-11 04:20:00,-0.022538199801934868,-0.24634173681798646,-0.2688799366199213
2017-08-11 04:25:00,-0.0017855701064099741,-0.24381926778666763,-0.2456048378930776
2017-08-11 04:30:00,0.014481930611819826,-0.2412914462415886,-0.22680951562976878
2017-08-11 04:35:00,0.027414196447948597,-0.23876745071603436,-0.21135325426808577
2017-08-11 04:40:00,0.04457698085626137,-0.2362564597432894,-0.19167947888702802
2017-08-11 04:45:00,0.05385143964654871,-0.23376765185663864,-0.17991621221008994
2017-08-11 04:50:00,0.051744939919900194,-0.23131020558936716,-0.17956526566946696
2017-08-11 04:55:00,0.044959016148136355,-0.22889329947475945,-0.1839342833266231
2017-08-11 05:00:00,0.0390863273094055,-0.22652611204610013,-0.18743978473669462
2017-08-11 05:05:00,0.03612137497643668,-0.22421782183667455,-0.18809644686023785
2017-08-11 05:10:00,0.04048364066625749,-0.22197760737976732,-0.18149396671350984
2017-08-11 05:15:00,0.03986179616180994,-0.21981464720866298,-0.17995285104685305
2017-08-11 05:20:00,0.030931469826895576,-0.2177381198566467,-0.18680665002975114
2017-08-11 05:25:00,0.02287367174492933,-0.2157572038570029,-0.19288353211207357
2017-08-11 05:30:00,0.017468897584849746,-0.2138810777430168,-0.19641218015816705
2017-08-11 05:35:00,0.014972131928358647,-0.21211892004797303,-0.1971467881196144
2017-08-11 05:40:00,0.024300420130054852,-0.21047990930515625,-0.1861794891751014
2017-08-11 05:45:00,0.03507134884174482,-0.2089732240478515,-0.1739018752061067
2017-08-11 05:50:00,0.03339960085603203,-0.20760804280934333,-0.1742084419533113
2017-08-11 05:55:00,0.03276292715711858,-0.2063935441229169,-0.17363061696579835
2017-08-11 06:00:00,0.04732625156439661,-0.20533890652185668,-0.15801265495746009
2017-08-11 06:05:00,0.059619976484869525,-0.2044466388583816,-0.14482666237351208
2017-08-11 06:10:00,0.05458969183564353,-0.20369257126044593,-0.1491028794248024
2017-08-11 06:15:00,0.03611947119387849,-0.20304586417493758,-0.1669263929810591
2017-08-11 06:20:00,-0.006049707151137254,-0.20247567804874486,-0.20852538519988212
2017-08-11 06:25:00,-0.051943005765913854,-0.20195117332875587,-0.2538941790946697
2017-08-11 06:30:00,-0.08033785568751727,-0.20144151046185874,-0.281779366149376
2017-08-11 06:35:00,-0.07624284786098846,-0.20091584989494155,-0.27715869775593
2017-08-11 06:40:00,-0.021140799001163176,-0.20034335207489243,-0.2214841510760556
2017-08-11 06:45:00,0.04813934506423656,-0.19969317744859955,-0.15155383238436299
2017-08-11 06:50:00,0.07731786767992058,-0.19893448646295103,-0.12161661878303046
2017-08-11 06:55:00,0.07704948263133395,-0.19803643956483497,-0.12098695693350102
2017-08-11 07:00:00,0.07372823003909464,-0.19696819720113956,-0.12323996716204492
2017-08-11 07:05:00,0.06782547609205648,-0.19569891981875273,-0.12787344372669623
2017-08-11 07:10:00,0.06426144261672756,-0.19419776786456291,-0.12993632524783535
2017-08-11 07:15:00,0.05948988307440647,-0.19243390178545797,-0.1329440187110515
2017-08-11 07:20:00,0.05097718786782194,-0.1903764820283261,-0.13939929416050417
2017-08-11 07:25:00,0.0471689313184454,-0.18799466904005563,-0.14082573772161022
2017-08-11 07:30:00,0.046570762964757303,-0.18525762326753448,-0.13868686030277716
2017-08-11 07:35:00,0.04326756320243914,-0.1821345051576506,-0.13886694195521146
2017-08-11 07:40:00,0.03126724858800342,-0.17859447515729254,-0.14732722656928912
2017-08-11 07:45:00,0.01317744817861559,-0.17460669371334825,-0.16142924553473265
2017-08-11 07:50:00,-0.0009562365845995673,-0.17014032127270587,-0.17109655785730543
2017-08-11 07:55:00,-0.012430289687427914,-0.16516451828225343,-0.17759480796968133
2017-08-11 08:00:00,-0.0203432166625873,-0.15964844518887875,-0.17999166185146603
2017-08-11 08:05:00,-0.018884285951679326,-0.1535707390669991,-0.17245502501867843
2017-08-11 08:10:00,-0.01316190809796358,-0.14694794350114412,-0.1601098515991077
2017-08-11 08:15:00,-0.00861747333079115,-0.13980607870337194,-0.1484235520341631
2017-08-11 08:20:00,-0.008295871812237654,-0.1321711648857422,-0.14046703669797986
2017-08-11 08:25:00,-0.019272050206359734,-0.12406922226031276,-0.1433412724666725
2017-08-11 08:30:00,-0.017671699928611357,-0.11552627103914231,-0.13319797096775368
2017-08-11 08:35:00,0.007305989937142622,-0.10656833143428926,-0.09926234149714663
2017-08-11 08:40:00,0.033035656523169456,-0.0972214236578119,-0.06418576713464244
2017-08-11 08:45:00,0.04457022461121926,-0.08751156792176948,-0.04294134331055022
