Observation Time (UTC),Penetration (mV/m),Quiet (mV/m),Quiet plus Penetration (mV/m)
2017-08-21 00:00:00,-0.00037648219155424526,-0.28834896016034905,-0.2887254423519033
2017-08-21 00:05:00,-0.0006437341305111131,-0.2910367190654463,-0.2916804531959574
2017-08-21 00:10:00,0.0008630243085862169,-0.2935044035384244,-0.2926413792298382
2017-08-21 00:15:00,0.0031698895614988257,-0.29579265647740727,-0.29262276691590844
2017-08-21 00:20:00,0.0020535460450892998,-0.29793563163314324,-0.29588208558805396
2017-08-21 00:25:00,0.0013230046927078928,-0.2999412338840445,-0.29861822919133657
2017-08-21 00:30:00,0.00019705445436660632,-0.3018108018741769,-0.3016137474198103
2017-08-21 00:35:00,-0.0030985508490472442,-0.3035456782364658,-0.30664422908551303
2017-08-21 00:40:00,-0.008259705360056345,-0.3051472095926948,-0.31340691495275114
2017-08-21 00:45:00,-0.00982755888226756,-0.30661674655350657,-0.3164443054357741
2017-08-21 00:50:00,-0.006958426635017833,-0.307955643718403,-0.31491407035342084
2017-08-21 00:55:00,-0.00395442430570769,-0.309165259675745,-0.3131196839814527
2017-08-21 01:00:00,-0.0028546580030451574,-0.3102469570027516,-0.3131016150057968
2017-08-21 01:05:00,-0.0025476515478432076,-0.31120210226550227,-0.31374975381334547
2017-08-21 01:10:00,-0.0032804227135431597,-0.31203206601893324,-0.3153124887324764
2017-08-21 01:15:00,-0.0063999635309735506,-0.31273822280684205,-0.3191381863378156
2017-08-21 01:20:00,-0.003356569511178661,-0.3133219511618834,-0.31667852067306207
2017-08-21 01:25:00,0.0016820850267939796,-0.31378463360557174,-0.3121025485787778
2017-08-21 01:30:00,0.004058760668398891,-0.3141276566482804,-0.3100688959798815
2017-08-21 01:35:00,-0.0004191669594696447,-0.31435241078924137,-0.314771577748711
2017-08-21 01:40:00,-0.0048848112520769775,-0.3144602905165458,-0.31934510176862274
2017-08-21 01:45:00,0.006254849225610829,-0.31445269430714384,-0.30819784508153303
2017-08-21 01:50:00,0.02788892517300763,-0.31433102462684426,-0.28644209945383664
2017-08-21 01:55:00,0.03528617975241192,-0.31409668793031503,-0.2788105081779031
2017-08-21 02:00:00,0.028756215051438088,-0.31375109466108286,-0.28499487960964476
2017-08-21 02:05:00,0.020425776167133262,-0.3132956592515339,-0.29286988308440065
2017-08-21 02:10:00,0.007095891765249037,-0.3127318001229123,-0.30563590835766324
2017-08-21 02:15:00,-0.0028059759705538014,-0.3120609396853223,-0.3148669156558761
2017-08-21 02:20:00,-0.007005735306961444,-0.3112845043377259,-0.3182902396446874
2017-08-21 02:25:00,-0.008455920903387803,-0.3104039244679451,-0.31885984537133294
2017-08-21 02:30:00,-0.010485328193612881,-0.3094206344526599,-0.31990596264627275
2017-08-21 02:35:00,-0.015014241604420529,-0.30833607265741,-0.32335031426183053
2017-08-21 02:40:00,-0.02053135618541191,-0.3071516814365936,-0.3276830376220055
2017-08-21 02:45:00,-0.02193684035937346,-0.305868907133468,-0.3278057474928414
2017-08-21 02:50:00,-0.01889272284423593,-0.3044892000801492,-0.3233819229243851
2017-08-21 02:55:00,-0.023871418699530956,-0.30301401459761246,-0.3268854332971434
2017-08-21 03:00:00,-0.031001929170547594,-0.30144480899569187,-0.3324467381662395
2017-08-21 03:05:00,-0.03147824725559882,-0.29978304557308033,-0.33126129282867917
2017-08-21 03:10:00,-0.021424636817514244,-0.29803019061732977,-0.319454827434844
2017-08-21 03:15:00,0.001075042332948156,-0.29618771440485103,-0.2951126720719029
2017-08-21 03:20:00,0.03183757539207436,-0.2942580053751512,-0.2624204299830768
2017-08-21 03:25:00,0.049872135479324245,-0.29224711079517285,-0.24237497531584862
2017-08-21 03:30:00,0.03871515562363645,-0.2901619909844358,-0.25144683536079937
2017-08-21 03:35:00,0.011941452084117126,-0.288009604676206,-0.2760681525920889
2017-08-21 03:40:00,-0.012369966250585451,-0.2857969090174972,-0.29816687526808267
2017-08-21 03:45:00,-0.031520196583426564,-0.28353085956906876,-0.31505105615249535
2017-08-21 03:50:00,-0.0487453855710404,-0.28121841030542793,-0.32996379587646835
2017-08-21 03:55:00,-0.05754274661765963,-0.27886651361482806,-0.3364092602324877
2017-08-21 04:00:00,-0.06639190851239107,-0.2764821202992696,-0.3428740288116607
2017-08-21 04:05:00,-0.06901149758531727,-0.27407217957449975,-0.343083677159817
2017-08-21 04:10:00,-0.06786155755958517,-0.27164363907001265,-0.3395051966295978
2017-08-21 04:15:00,-0.060726828779504326,-0.26920344482904907,-0.32993027360855337
2017-08-21 04:20:00,-0.05089130212065949,-0.26675854130859683,-0.31764984342925634
2017-08-21 04:25:00,-0.04175990398052155,-0.2643158713793903,-0.3060757753599118
2017-08-21 04:30:00,-0.03674573785223901,-0.2618823763259107,-0.2986281141781497
2017-08-21 04:35:00,-0.02984772509907647,-0.25946499584638644,-0.2893127209454629
2017-08-21 04:40:00,-0.014353495685136752,-0.25707066805279255,-0.2714241637379293
2017-08-21 04:45:00,0.015839215474986387,-0.2547063294708502,-0.2388671139958638
2017-08-21 04:50:00,0.04290966905544713,-0.25237891504002863,-0.2094692459845815
2017-08-21 04:55:00,0.04643075601159987,-0.2500953581135429,-0.203664602101943
2017-08-21 05:00:00,0.03978070063856772,-0.24786259045835513,-0.2080818898197874
2017-08-21 05:05:00,0.03714635993250227,-0.2456875422551748,-0.20854118232267255
2017-08-21 05:10:00,0.030868782789275153,-0.24357714209845732,-0.21270835930918217
2017-08-21 05:15:00,0.019167871811643672,-0.24153831699640546,-0.2223704451847618
2017-08-21 05:20:00,0.01028888790851019,-0.23957799237096877,-0.2292891044624586
2017-08-21 05:25:00,0.006334621508254883,-0.23770309205784368,-0.23136847054958878
2017-08-21 05:30:00,0.0039170092622380585,-0.23592053830647308,-0.23200352904423502
2017-08-21 05:35:00,0.0036478554019134138,-0.23423725178004706,-0.23058939637813364
2017-08-21 05:40:00,0.0023644857403840214,-0.2326601515555024,-0.23029566581511837
2017-08-21 05:45:00,0.00026749148220554596,-0.23119615512352246,-0.23092866364131692
2017-08-21 05:50:00,-0.007063938309716154,-0.2298521783885378,-0.23691611669825396
2017-08-21 05:55:00,-0.012316156120014205,-0.22863513566872556,-0.24095129178873978
2017-08-21 06:00:00,0.00027197288696894647,-0.22755193969601,-0.22727996680904106
2017-08-21 06:05:00,0.021883517061055863,-0.2266034738056303,-0.20471995674457444
2017-08-21 06:10:00,0.01996881805476646,-0.22576651147576238,-0.2057976934209959
2017-08-21 06:15:00,-0.008793174171575064,-0.22501180495790601,-0.2338049791294811
2017-08-21 06:20:00,-0.034988454719365854,-0.2243101138300461,-0.25929856854941197
2017-08-21 06:25:00,-0.04980152082151523,-0.22363220499665196,-0.27343372581816716
2017-08-21 06:30:00,-0.0552761546044157,-0.22294885268867737,-0.2782250072930931
2017-08-21 06:35:00,-0.05350147850146956,-0.22223083846356073,-0.2757323169650303
2017-08-21 06:40:00,-0.04824307735010696,-0.22144895120522454,-0.2696920285553315
2017-08-21 06:45:00,-0.03708469534272488,-0.22057398712407614,-0.257658682466801
2017-08-21 06:50:00,-0.0267398135075004,-0.21957674975700708,-0.2463165632645075
2017-08-21 06:55:00,-0.015502382320786812,-0.2184280499673939,-0.23393043228818072
2017-08-21 07:00:00,0.00043713426902113175,-0.21709870594509673,-0.21666157167607558
2017-08-21 07:05:00,0.013160564150895279,-0.215559543206461,-0.20239897905556573
2017-08-21 07:10:00,0.013673521503762527,-0.2137813945943163,-0.20010787309055378
2017-08-21 07:15:00,0.01003776534414582,-0.21173510027797665,-0.20169733493383082
2017-08-21 07:20:00,0.009604066148646954,-0.20939150775324056,-0.1997874416045936
2017-08-21 07:25:00,0.010817501196924113,-0.2067214718423913,-0.1959039706454672
2017-08-21 07:30:00,0.010570728343346488,-0.20369585469419613,-0.19312512635084964
2017-08-21 07:35:00,0.0024518578335245254,-0.2002855257839069,-0.19783366795038237
2017-08-21 07:40:00,-0.007525009816470689,-0.19646136191326075,-0.20398637172973144
2017-08-21 07:45:00,-0.012360521179682666,-0.1921942472104781,-0.20455476839016076
2017-08-21 07:50:00,-0.013208109826595298,-0.18745507313026452,-0.2006631829568598
2017-08-21 07:55:00,-0.01281752202753283,-0.1822147384538101,-0.19503226048134292
2017-08-21 08:00:00,-0.012100894484223234,-0.17644414928878832,-0.18854504377301157
2017-08-21 08:05:00,-0.012435669032918845,-0.1701249334848829,-0.18256060251780173
2017-08-21 08:10:00,-0.013467451646041306,-0.1632815945701585,-0.1767490462161998
2017-08-21 08:15:00,-0.014609578970701557,-0.15594938721165003,-0.17055896618235158
2017-08-21 08:20:00,-0.013278763842818701,-0.148163605472291,-0.1614423693151097
2017-08-21 08:25:00,-0.008520308363118788,-0.13995958281091103,-0.14847989117402982
2017-08-21 08:30:00,-0.002294648536244009,-0.1313726920822376,-0.1336673406184816
2017-08-21 08:35:00,-0.0015577361579632023,-0.12243834553689549,-0.12399608169485869
2017-08-21 08:40:00,-0.003406941798304122,-0.11319199482140647,-0.1165989366197106
2017-08-21 08:45:00,-0.006533772703205076,-0.10366913097819118,-0.11020290368139625
2017-08-21 08:50:00,-0.014768945262291321,-0.09390300405873556,-0.10867194932102688
2017-08-21 08:55:00,-0.023877621902348253,-0.08391773569133114,-0.10779535759367939
2017-08-21 09:00:00,-0.024967074300843137,-0.07373507926597106,-0.0987021535668142
2017-08-21 09:05:00,-0.020159226892718714,-0.06337668875323621,-0.08353591564595492
2017-08-21 09:10:00,-0.015923738837579762,-0.052864118704296886,-0.06878785754187665
2017-08-21 09:15:00,-0.009062470896575912,-0.04221882425091217,-0.05128129514748808
2017-08-21 09:20:00,0.0025514282466558057,-0.03146216110543,-0.028910732858774196
2017-08-21 09:25:00,0.014923424090704797,-0.02061538556078719,-0.005691961470082394
2017-08-21 09:30:00,0.021322405700577664,-0.009699654490509352,0.011622751210068312
2017-08-21 09:35:00,0.020625007782632647,0.001265885822720396,0.021890893605353044
2017-08-21 09:40:00,0.015284713887336489,0.012269797444064695,0.027554511331401185
2017-08-21 09:45:00,0.00937262270225204,0.023302554696977545,0.03267517739922959
2017-08-21 09:50:00,0.004133473523334252,0.034354624052450114,0.038488097575784364
2017-08-21 09:55:00,0.004325147869835096,0.045416464129010535,0.04974161199884563
2017-08-21 10:00:00,0.005874403368456668,0.05647852569272418,0.062352929061180846
2017-08-21 10:05:00,0.0035706580497793217,0.06753125165719343,0.07110190970697275
2017-08-21 10:10:00,0.002262080037680934,0.07856507708355777,0.0808271571212387
2017-08-21 10:15:00,0.00161850173444114,0.0895704291804938,0.09118893091493493
2017-08-21 10:20:00,-0.0005075587134406627,0.10053772730421516,0.1000301685907745
2017-08-21 10:25:00,-0.002011763674749326,0.11145738295847271,0.10944561928372339
2017-08-21 10:30:00,-0.0011798964414505891,0.12231979979455429,0.1211399033531037
2017-08-21 10:35:00,0.00043858224543553363,0.13311529671607078,0.1335538789615063
2017-08-21 10:40:00,0.0008508092957644357,0.14383387396846575,0.1446846832642302
2017-08-21 10:45:00,0.0002068035777473104,0.15446543818117148,0.15467224175891878
2017-08-21 10:50:00,0.000373313794142918,0.16499987845661168,0.16537319225075459
2017-08-21 10:55:00,0.0020044093648425103,0.17542706637020086,0.17743147573504336
2017-08-21 11:00:00,0.005009755815749583,0.18573685597034428,0.19074661178609387
2017-08-21 11:05:00,0.006337779020055634,0.19591908377843836,0.202256862798494
2017-08-21 11:10:00,-0.0005041658956266185,0.20596356878887084,0.20545940289324421
2017-08-21 11:15:00,-0.008759365160818267,0.21586011246901995,0.2071007473082017
2017-08-21 11:20:00,-0.012922437360714,0.2255984987592551,0.21267606139854112
2017-08-21 11:25:00,-0.016417825567506896,0.23516849407293655,0.21875066850542965
2017-08-21 11:30:00,-0.017854243948809495,0.24455984729641558,0.2267056033476061
2017-08-21 11:35:00,-0.020597292195702974,0.25376228978903487,0.2331649975933319
2017-08-21 11:40:00,-0.022922308796332565,0.2627655353831272,0.23984322658679463
2017-08-21 11:45:00,-0.02654220476233544,0.271559280384017,0.24501707562168157
2017-08-21 11:50:00,-0.02835186868906014,0.2801332035700197,0.25178133488095955
2017-08-21 11:55:00,-0.02774142116840471,0.28847696619244123,0.2607355450240365
2017-08-21 12:00:00,-0.027908939705143833,0.296580211975579,0.26867127227043514
2017-08-21 12:05:00,-0.02865407751011738,0.304432567116721,0.2757784896066036
2017-08-21 12:10:00,-0.031193892484024537,0.31202364028614665,0.2808297478021221
2017-08-21 12:15:00,-0.03538190471845324,0.3193430226271258,0.28396111790867257
2017-08-21 12:20:00,-0.03278190076216504,0.3263802877559198,0.2935983869937548
2017-08-21 12:25:00,-0.010580524083695718,0.3331249917617804,0.3225444676780847
2017-08-21 12:30:00,0.004418765459114429,0.33956667320695083,0.34398543866606524
2017-08-21 12:35:00,-0.0005485687424794479,0.3456948531266655,0.34514628438418604
2017-08-21 12:40:00,-0.009619754083324607,0.3514990350291487,0.3418792809458241
2017-08-21 12:45:00,-0.016645759660376822,0.35696870489561705,0.3403229452352402
2017-08-21 12:50:00,-0.016992241387345657,0.36209333118027687,0.3451010897929312
2017-08-21 12:55:00,-0.012384856932995571,0.36686236481032697,0.3544775078773314
2017-08-21 13:00:00,-0.006986526821331617,0.37126523918595566,0.36427871236462406
2017-08-21 13:05:00,-0.006461805898007319,0.37529137018034303,0.3688295642823357
2017-08-21 13:10:00,-0.006722733345547551,0.3789301561396597,0.3722074227941121
2017-08-21 13:15:00,-0.008782537290625435,0.3821709778830682,0.37338844059244275
2017-08-21 13:20:00,-0.011972319460161886,0.38500667734844135,0.3730343578882795
2017-08-21 13:25:00,-0.013013948558997204,0.38744400230297826,0.3744300537439811
2017-08-21 13:30:00,-0.008475771252840318,0.3894931857595785,0.38101741450673815
2017-08-21 13:35:00,0.0007939918929600312,0.3911644695244833,0.39195846141744334
2017-08-21 13:40:00,0.003872181819168762,0.392468104197276,0.3963402860164448
2017-08-21 13:45:00,-0.0011283683974768392,0.3934143491708827,0.3922859807734059
2017-08-21 13:50:00,-0.0050983626084716875,0.3940134726315705,0.3889151100230988
2017-08-21 13:55:00,-0.004784728566862729,0.39427575155894995,0.3894910229920872
2017-08-21 14:00:00,-0.0027523111671046868,0.39421147172597293,0.39145916055886826
2017-08-21 14:05:00,-0.002676886008672074,0.39383092769893385,0.3911540416902618
2017-08-21 14:10:00,-0.0028125706809748333,0.39314442283746864,0.3903318521564938
2017-08-21 14:15:00,-0.0014786945802119074,0.39216226929455617,0.3906835747143443
2017-08-21 14:20:00,-0.0007805004501110443,0.3908947880165168,0.39011428756640576
2017-08-21 14:25:00,0.0009326025259125992,0.3893523087430139,0.3902849112689265
2017-08-21 14:30:00,0.002396737841038678,0.387545170007052,0.3899419078480907
2017-08-21 14:35:00,0.002542728299573113,0.3854837191349785,0.3880264474345516
2017-08-21 14:40:00,0.0022226867144338838,0.3831783122464819,0.3854009989609158
2017-08-21 14:45:00,0.0018961160173306593,0.3806393142545941,0.3825354302719247
2017-08-21 14:50:00,0.004205359833183921,0.3778770988656888,0.38208245869887275
2017-08-21 14:55:00,0.006057017034523038,0.37490204857948134,0.3809590656140044
2017-08-21 15:00:00,0.00577134512443258,0.3717245546890295,0.37749589981346204
2017-08-21 15:05:00,0.00526384985702941,0.3683550172807332,0.37361886713776266
2017-08-21 15:10:00,0.005415186692520887,0.3648038452343351,0.370219031926856
2017-08-21 15:15:00,0.0026463962933166506,0.3610814562229186,0.36372785251623524
2017-08-21 15:20:00,-0.002098652343165239,0.3571982767129104,0.3550996243697451
2017-08-21 15:25:00,0.0008130403843790324,0.353164741964079,0.353977782348458
2017-08-21 15:30:00,0.007722541382783295,0.34899129602953494,0.3567138374123182
2017-08-21 15:35:00,0.010318956740526512,0.34468839175573107,0.3550073484962576
2017-08-21 15:40:00,0.009453694727039679,0.3402664907824625,0.3497201855095022
2017-08-21 15:45:00,0.00986651204119578,0.3357360635428664,0.34560257558406215
2017-08-21 15:50:00,0.011412909850660931,0.3311075892634215,0.34252049911408244
2017-08-21 15:55:00,0.013025221675015247,0.32639155596394936,0.3394167776389646
2017-08-21 16:00:00,0.013319302182563534,0.32159846045761353,0.3349177626401771
2017-08-21 16:05:00,0.013191080861170157,0.3167388083509199,0.32992988921209004
2017-08-21 16:10:00,0.013801631838380613,0.3118231140437157,0.32562474588209633
